org,repo,pr_number,step,input_tokens,output_tokens,tier_used,dollars
heliosdrift,commerce-platform,293,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,293,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,293,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,293,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,293,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,293,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,297,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,297,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,297,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,297,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,297,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,297,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,310,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,310,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,310,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,310,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,310,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,310,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,373,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,373,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,373,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,373,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,373,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,373,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,404,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,404,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,404,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,404,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,404,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,404,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,399,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,399,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,399,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,399,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,399,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,399,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,400,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,400,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,400,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,400,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,400,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,400,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,418,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,418,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,418,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,418,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,418,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,418,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,439,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,439,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,439,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,439,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,439,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,439,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,444,plan,2098,1000,base,0.021294
heliosdrift,commerce-platform,444,select_tools,830,240,base,0.00609
heliosdrift,commerce-platform,444,synthesize_diff,3240,2040,base,0.04032
heliosdrift,commerce-platform,444,review,2360,1500,base,0.02958
heliosdrift,commerce-platform,444,apply_fixes,2798,1832,base,0.035874
heliosdrift,commerce-platform,444,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,460,plan,1932,868,base,0.018816
heliosdrift,commerce-platform,460,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,460,synthesize_diff,3078,2012,base,0.039414
heliosdrift,commerce-platform,460,review,2252,1434,base,0.028266
heliosdrift,commerce-platform,460,apply_fixes,2664,1808,base,0.035112
heliosdrift,commerce-platform,460,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,685,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,685,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,685,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,685,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,685,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,685,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,770,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,770,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,770,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,770,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,770,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,770,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,777,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,777,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,777,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,777,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,777,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,777,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,784,plan,1932,868,base,0.018816
heliosdrift,commerce-platform,784,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,784,synthesize_diff,3078,2012,base,0.039414
heliosdrift,commerce-platform,784,review,2252,1434,base,0.028266
heliosdrift,commerce-platform,784,apply_fixes,2664,1808,base,0.035112
heliosdrift,commerce-platform,784,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,782,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,782,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,782,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,782,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,782,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,782,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,781,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,781,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,781,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,781,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,781,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,781,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,786,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,786,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,786,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,786,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,786,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,786,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,772,plan,2098,1012,base,0.021474
heliosdrift,commerce-platform,772,select_tools,830,240,base,0.00609
heliosdrift,commerce-platform,772,synthesize_diff,3246,2044,base,0.040398
heliosdrift,commerce-platform,772,review,2364,1506,base,0.029682
heliosdrift,commerce-platform,772,apply_fixes,2802,1834,base,0.035916
heliosdrift,commerce-platform,772,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,788,plan,2231,1082,base,0.022923
heliosdrift,commerce-platform,788,select_tools,840,240,base,0.00612
heliosdrift,commerce-platform,788,synthesize_diff,3324,2056,base,0.040812
heliosdrift,commerce-platform,788,review,2416,1540,base,0.030348
heliosdrift,commerce-platform,788,apply_fixes,2867,1844,base,0.036261
heliosdrift,commerce-platform,788,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,787,plan,2231,1082,base,0.022923
heliosdrift,commerce-platform,787,select_tools,840,240,base,0.00612
heliosdrift,commerce-platform,787,synthesize_diff,3324,2056,base,0.040812
heliosdrift,commerce-platform,787,review,2416,1540,base,0.030348
heliosdrift,commerce-platform,787,apply_fixes,2867,1844,base,0.036261
heliosdrift,commerce-platform,787,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,790,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,790,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,790,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,790,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,790,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,790,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,793,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,793,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,793,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,793,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,793,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,793,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,795,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,795,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,795,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,795,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,795,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,795,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,783,plan,2097,986,base,0.021081
heliosdrift,commerce-platform,783,select_tools,830,240,base,0.00609
heliosdrift,commerce-platform,783,synthesize_diff,3234,2036,base,0.040242
heliosdrift,commerce-platform,783,review,2356,1492,base,0.029448
heliosdrift,commerce-platform,783,apply_fixes,2793,1828,base,0.035799
heliosdrift,commerce-platform,783,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,789,plan,2098,1000,base,0.021294
heliosdrift,commerce-platform,789,select_tools,830,240,base,0.00609
heliosdrift,commerce-platform,789,synthesize_diff,3240,2040,base,0.04032
heliosdrift,commerce-platform,789,review,2360,1500,base,0.02958
heliosdrift,commerce-platform,789,apply_fixes,2798,1832,base,0.035874
heliosdrift,commerce-platform,789,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,780,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,780,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,780,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,780,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,780,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,780,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,775,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,775,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,775,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,775,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,775,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,775,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,773,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,773,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,773,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,773,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,773,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,773,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,803,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,803,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,803,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,803,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,803,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,803,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,799,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,799,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,799,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,799,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,799,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,799,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,802,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,802,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,802,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,802,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,802,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,802,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,776,plan,2230,1068,base,0.02271
heliosdrift,commerce-platform,776,select_tools,840,240,base,0.00612
heliosdrift,commerce-platform,776,synthesize_diff,3318,2052,base,0.040734
heliosdrift,commerce-platform,776,review,2412,1534,base,0.030246
heliosdrift,commerce-platform,776,apply_fixes,2862,1840,base,0.036186
heliosdrift,commerce-platform,776,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,805,plan,2956,1496,base,0.031308
heliosdrift,commerce-platform,805,select_tools,910,240,base,0.00633
heliosdrift,commerce-platform,805,synthesize_diff,3858,2132,base,0.043554
heliosdrift,commerce-platform,805,review,2772,1748,base,0.034536
heliosdrift,commerce-platform,805,apply_fixes,3308,1904,base,0.038484
heliosdrift,commerce-platform,805,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,809,plan,1965,930,base,0.019845
heliosdrift,commerce-platform,809,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,809,synthesize_diff,3162,2028,base,0.039906
heliosdrift,commerce-platform,809,review,2308,1464,base,0.028884
heliosdrift,commerce-platform,809,apply_fixes,2733,1822,base,0.035529
heliosdrift,commerce-platform,809,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,808,plan,2957,1510,base,0.031521
heliosdrift,commerce-platform,808,select_tools,910,240,base,0.00633
heliosdrift,commerce-platform,808,synthesize_diff,3864,2136,base,0.043632
heliosdrift,commerce-platform,808,review,2776,1754,base,0.034638
heliosdrift,commerce-platform,808,apply_fixes,3313,1908,base,0.038559
heliosdrift,commerce-platform,808,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,801,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,801,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,801,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,801,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,801,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,801,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,813,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,813,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,813,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,813,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,813,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,813,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,814,plan,1964,916,base,0.019632
heliosdrift,commerce-platform,814,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,814,synthesize_diff,3156,2024,base,0.039828
heliosdrift,commerce-platform,814,review,2304,1458,base,0.028782
heliosdrift,commerce-platform,814,apply_fixes,2728,1818,base,0.035454
heliosdrift,commerce-platform,814,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,817,plan,6525,1800,base,0.046575
heliosdrift,commerce-platform,817,select_tools,1240,240,base,0.00732
heliosdrift,commerce-platform,817,synthesize_diff,6432,2528,base,0.057216
heliosdrift,commerce-platform,817,review,4488,1900,base,0.041964
heliosdrift,commerce-platform,817,apply_fixes,5433,2222,base,0.049629
heliosdrift,commerce-platform,817,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,824,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,824,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,824,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,824,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,824,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,824,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,836,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,836,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,836,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,836,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,836,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,836,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,877,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,877,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,877,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,877,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,877,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,877,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,885,plan,1932,868,base,0.018816
heliosdrift,commerce-platform,885,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,885,synthesize_diff,3078,2012,base,0.039414
heliosdrift,commerce-platform,885,review,2252,1434,base,0.028266
heliosdrift,commerce-platform,885,apply_fixes,2664,1808,base,0.035112
heliosdrift,commerce-platform,885,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,884,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,884,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,884,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,884,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,884,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,884,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,897,plan,2957,1510,base,0.031521
heliosdrift,commerce-platform,897,select_tools,910,240,base,0.00633
heliosdrift,commerce-platform,897,synthesize_diff,3864,2136,base,0.043632
heliosdrift,commerce-platform,897,review,2776,1754,base,0.034638
heliosdrift,commerce-platform,897,apply_fixes,3313,1908,base,0.038559
heliosdrift,commerce-platform,897,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,911,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,911,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,911,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,911,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,911,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,911,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,915,plan,2066,964,base,0.020658
heliosdrift,commerce-platform,915,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,915,synthesize_diff,3168,2032,base,0.039984
heliosdrift,commerce-platform,915,review,2312,1482,base,0.029166
heliosdrift,commerce-platform,915,apply_fixes,2738,1824,base,0.035574
heliosdrift,commerce-platform,915,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,917,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,917,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,917,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,917,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,917,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,917,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,918,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,918,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,918,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,918,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,918,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,918,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,924,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,924,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,924,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,924,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,924,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,924,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,925,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,925,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,925,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,925,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,925,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,925,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,912,plan,2066,964,base,0.020658
heliosdrift,commerce-platform,912,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,912,synthesize_diff,3168,2032,base,0.039984
heliosdrift,commerce-platform,912,review,2312,1482,base,0.029166
heliosdrift,commerce-platform,912,apply_fixes,2738,1824,base,0.035574
heliosdrift,commerce-platform,912,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,931,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,931,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,931,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,931,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,931,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,931,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,896,plan,1964,916,base,0.019632
heliosdrift,commerce-platform,896,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,896,synthesize_diff,3156,2024,base,0.039828
heliosdrift,commerce-platform,896,review,2304,1458,base,0.028782
heliosdrift,commerce-platform,896,apply_fixes,2728,1818,base,0.035454
heliosdrift,commerce-platform,896,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,914,plan,1934,896,base,0.019242
heliosdrift,commerce-platform,914,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,914,synthesize_diff,3090,2020,base,0.03957
heliosdrift,commerce-platform,914,review,2260,1448,base,0.0285
heliosdrift,commerce-platform,914,apply_fixes,2674,1816,base,0.035262
heliosdrift,commerce-platform,914,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,945,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,945,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,945,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,945,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,945,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,945,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,950,plan,1932,868,base,0.018816
heliosdrift,commerce-platform,950,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,950,synthesize_diff,3078,2012,base,0.039414
heliosdrift,commerce-platform,950,review,2252,1434,base,0.028266
heliosdrift,commerce-platform,950,apply_fixes,2664,1808,base,0.035112
heliosdrift,commerce-platform,950,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,953,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,953,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,953,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,953,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,953,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,953,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,951,plan,1932,868,base,0.018816
heliosdrift,commerce-platform,951,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,951,synthesize_diff,3078,2012,base,0.039414
heliosdrift,commerce-platform,951,review,2252,1434,base,0.028266
heliosdrift,commerce-platform,951,apply_fixes,2664,1808,base,0.035112
heliosdrift,commerce-platform,951,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,958,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,958,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,958,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,958,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,958,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,958,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,973,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,973,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,973,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,973,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,973,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,973,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,981,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,981,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,981,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,981,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,981,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,981,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,975,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,975,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,975,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,975,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,975,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,975,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,1020,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,1020,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,1020,synthesize_diff,3072,2008,base,0.039336
