org,repo,pr_number,title,state,createdAt,mergedAt,closedAt,isDraft,isCrossRepository,author,additions,deletions,changedFiles,commits_totalCount,participants_totalCount,closingIssues_count,closingIssues_bug_count
heliosdrift,commerce-platform,775,Synthetic PR #775,MERGED,2024-07-03T00:00:00Z,2024-07-05T00:00:00Z,2024-07-05T00:00:00Z,False,False,dcombs39,150,50,1,1,1,0,0
heliosdrift,commerce-platform,773,Synthetic PR #773,MERGED,2024-07-04T00:00:00Z,2024-07-06T00:00:00Z,2024-07-06T00:00:00Z,False,False,dcombs39,120,40,1,1,1,0,0
heliosdrift,commerce-platform,803,Synthetic PR #803,MERGED,2024-07-05T00:00:00Z,2024-07-07T00:00:00Z,2024-07-07T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,799,Synthetic PR #799,MERGED,2024-07-06T00:00:00Z,2024-07-08T00:00:00Z,2024-07-08T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,802,Synthetic PR #802,MERGED,2024-07-07T00:00:00Z,2024-07-09T00:00:00Z,2024-07-09T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,776,Synthetic PR #776,MERGED,2024-07-08T00:00:00Z,2024-07-10T00:00:00Z,2024-07-10T00:00:00Z,False,False,bsmith79,390,130,4,3,3,0,0
heliosdrift,commerce-platform,805,Synthetic PR #805,MERGED,2024-07-09T00:00:00Z,2024-07-11T00:00:00Z,2024-07-11T00:00:00Z,False,False,ryoung93,990,330,11,8,2,0,0
heliosdrift,commerce-platform,809,Synthetic PR #809,MERGED,2024-07-10T00:00:00Z,2024-07-12T00:00:00Z,2024-07-12T00:00:00Z,False,False,ryoung93,210,70,2,1,2,0,0
heliosdrift,commerce-platform,808,Synthetic PR #808,MERGED,2024-07-11T00:00:00Z,2024-07-13T00:00:00Z,2024-07-13T00:00:00Z,False,False,ryoung93,1020,340,11,8,3,0,0
heliosdrift,commerce-platform,801,Synthetic PR #801,MERGED,2024-07-12T00:00:00Z,2024-07-14T00:00:00Z,2024-07-14T00:00:00Z,False,False,wpeterson13,150,50,1,1,2,0,0
heliosdrift,commerce-platform,813,Synthetic PR #813,MERGED,2024-07-13T00:00:00Z,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z,False,False,ryoung93,150,50,1,1,2,0,0
heliosdrift,commerce-platform,814,Synthetic PR #814,MERGED,2024-07-14T00:00:00Z,2024-07-16T00:00:00Z,2024-07-16T00:00:00Z,False,False,ryoung93,180,60,2,1,1,0,0
heliosdrift,commerce-platform,817,Synthetic PR #817,MERGED,2024-07-15T00:00:00Z,2024-07-17T00:00:00Z,2024-07-17T00:00:00Z,False,False,bsmith79,3960,1320,44,33,3,0,0
heliosdrift,commerce-platform,824,Synthetic PR #824,MERGED,2024-07-16T00:00:00Z,2024-07-18T00:00:00Z,2024-07-18T00:00:00Z,False,False,wpeterson13,60,20,1,1,1,0,0
heliosdrift,commerce-platform,836,Synthetic PR #836,MERGED,2024-07-17T00:00:00Z,2024-07-19T00:00:00Z,2024-07-19T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,877,Synthetic PR #877,MERGED,2024-07-18T00:00:00Z,2024-07-20T00:00:00Z,2024-07-20T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,885,Synthetic PR #885,MERGED,2024-07-19T00:00:00Z,2024-07-21T00:00:00Z,2024-07-21T00:00:00Z,False,False,jbell96,90,30,1,1,3,0,0
heliosdrift,commerce-platform,884,Synthetic PR #884,MERGED,2024-07-20T00:00:00Z,2024-07-22T00:00:00Z,2024-07-22T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,897,Synthetic PR #897,MERGED,2024-07-21T00:00:00Z,2024-07-23T00:00:00Z,2024-07-23T00:00:00Z,False,False,bsmith79,1020,340,11,8,2,0,0
heliosdrift,commerce-platform,911,Synthetic PR #911,MERGED,2024-07-22T00:00:00Z,2024-07-24T00:00:00Z,2024-07-24T00:00:00Z,False,False,scook74,120,40,1,1,2,0,0
heliosdrift,commerce-platform,915,Synthetic PR #915,MERGED,2024-07-23T00:00:00Z,2024-07-25T00:00:00Z,2024-07-25T00:00:00Z,False,False,dcombs39,240,80,2,2,4,0,0
heliosdrift,commerce-platform,917,Synthetic PR #917,MERGED,2024-07-24T00:00:00Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,918,Synthetic PR #918,MERGED,2024-07-25T00:00:00Z,2024-07-27T00:00:00Z,2024-07-27T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,924,Synthetic PR #924,MERGED,2024-07-26T00:00:00Z,2024-07-28T00:00:00Z,2024-07-28T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,925,Synthetic PR #925,MERGED,2024-07-27T00:00:00Z,2024-07-29T00:00:00Z,2024-07-29T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,912,Synthetic PR #912,MERGED,2024-07-28T00:00:00Z,2024-07-30T00:00:00Z,2024-07-30T00:00:00Z,False,False,bsmith79,240,80,2,2,1,0,0
heliosdrift,commerce-platform,931,Synthetic PR #931,MERGED,2024-07-29T00:00:00Z,2024-07-31T00:00:00Z,2024-07-31T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,896,Synthetic PR #896,MERGED,2024-07-30T00:00:00Z,2024-08-01T00:00:00Z,2024-08-01T00:00:00Z,False,False,pbuck38,180,60,2,1,1,0,0
heliosdrift,commerce-platform,914,Synthetic PR #914,MERGED,2024-07-31T00:00:00Z,2024-08-02T00:00:00Z,2024-08-02T00:00:00Z,False,False,dcombs39,150,50,1,1,1,0,0
heliosdrift,commerce-platform,945,Synthetic PR #945,MERGED,2024-08-01T00:00:00Z,2024-08-03T00:00:00Z,2024-08-03T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,950,Synthetic PR #950,MERGED,2024-08-02T00:00:00Z,2024-08-04T00:00:00Z,2024-08-04T00:00:00Z,False,False,dcombs39,90,30,1,1,2,0,0
heliosdrift,commerce-platform,953,Synthetic PR #953,MERGED,2024-08-03T00:00:00Z,2024-08-05T00:00:00Z,2024-08-05T00:00:00Z,False,False,dcombs39,30,10,1,1,1,0,0
heliosdrift,commerce-platform,951,Synthetic PR #951,MERGED,2024-08-04T00:00:00Z,2024-08-06T00:00:00Z,2024-08-06T00:00:00Z,False,False,pbuck38,90,30,1,1,2,0,0
heliosdrift,commerce-platform,958,Synthetic PR #958,MERGED,2024-08-05T00:00:00Z,2024-08-07T00:00:00Z,2024-08-07T00:00:00Z,False,False,dcombs39,60,20,1,1,2,0,0
heliosdrift,commerce-platform,973,Synthetic PR #973,MERGED,2024-08-06T00:00:00Z,2024-08-08T00:00:00Z,2024-08-08T00:00:00Z,False,False,dcombs39,120,40,1,1,1,0,0
heliosdrift,commerce-platform,981,Synthetic PR #981,MERGED,2024-08-07T00:00:00Z,2024-08-09T00:00:00Z,2024-08-09T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,975,Synthetic PR #975,MERGED,2024-08-08T00:00:00Z,2024-08-10T00:00:00Z,2024-08-10T00:00:00Z,False,False,dcombs39,120,40,1,1,2,0,0
heliosdrift,commerce-platform,1020,Synthetic PR #1020,MERGED,2024-08-09T00:00:00Z,2024-08-11T00:00:00Z,2024-08-11T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,1021,Synthetic PR #1021,MERGED,2024-08-10T00:00:00Z,2024-08-12T00:00:00Z,2024-08-12T00:00:00Z,False,False,dcombs39,180,60,2,1,1,0,0
heliosdrift,commerce-platform,1032,Synthetic PR #1032,MERGED,2024-08-11T00:00:00Z,2024-08-13T00:00:00Z,2024-08-13T00:00:00Z,False,False,bsmith79,330,110,3,2,2,0,0
heliosdrift,commerce-platform,1052,Synthetic PR #1052,MERGED,2024-08-12T00:00:00Z,2024-08-14T00:00:00Z,2024-08-14T00:00:00Z,False,False,sdunn41,1020,340,11,8,3,0,0
heliosdrift,commerce-platform,1044,Synthetic PR #1044,MERGED,2024-08-13T00:00:00Z,2024-08-15T00:00:00Z,2024-08-15T00:00:00Z,False,False,bsmith79,210,70,2,1,4,0,0
heliosdrift,commerce-platform,1075,Synthetic PR #1075,MERGED,2024-08-14T00:00:00Z,2024-08-16T00:00:00Z,2024-08-16T00:00:00Z,False,False,bsmith79,210,70,2,1,1,0,0
heliosdrift,commerce-platform,1074,Synthetic PR #1074,MERGED,2024-08-15T00:00:00Z,2024-08-17T00:00:00Z,2024-08-17T00:00:00Z,False,False,bsmith79,120,40,1,1,1,0,0
heliosdrift,commerce-platform,1093,Synthetic PR #1093,MERGED,2024-08-16T00:00:00Z,2024-08-18T00:00:00Z,2024-08-18T00:00:00Z,False,False,bsmith79,150,50,1,1,2,0,0
heliosdrift,commerce-platform,1079,Synthetic PR #1079,MERGED,2024-08-17T00:00:00Z,2024-08-19T00:00:00Z,2024-08-19T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1095,Synthetic PR #1095,MERGED,2024-08-18T00:00:00Z,2024-08-20T00:00:00Z,2024-08-20T00:00:00Z,False,False,bsmith79,630,210,7,5,2,0,0
heliosdrift,commerce-platform,1073,Synthetic PR #1073,MERGED,2024-08-19T00:00:00Z,2024-08-21T00:00:00Z,2024-08-21T00:00:00Z,False,False,bsmith79,90,30,1,1,1,0,0
heliosdrift,commerce-platform,1098,Synthetic PR #1098,MERGED,2024-08-20T00:00:00Z,2024-08-22T00:00:00Z,2024-08-22T00:00:00Z,False,False,dcombs39,510,170,5,4,3,0,0
heliosdrift,commerce-platform,1099,Synthetic PR #1099,MERGED,2024-08-21T00:00:00Z,2024-08-23T00:00:00Z,2024-08-23T00:00:00Z,False,False,bsmith79,330,110,3,2,3,0,0
heliosdrift,commerce-platform,1097,Synthetic PR #1097,MERGED,2024-08-22T00:00:00Z,2024-08-24T00:00:00Z,2024-08-24T00:00:00Z,False,False,bsmith79,420,140,4,3,1,0,0
heliosdrift,commerce-platform,1102,Synthetic PR #1102,MERGED,2024-08-23T00:00:00Z,2024-08-25T00:00:00Z,2024-08-25T00:00:00Z,False,False,dcombs39,90,30,1,1,2,0,0
heliosdrift,commerce-platform,1111,Synthetic PR #1111,MERGED,2024-08-24T00:00:00Z,2024-08-26T00:00:00Z,2024-08-26T00:00:00Z,False,False,sdunn41,90,30,1,1,2,0,0
heliosdrift,commerce-platform,1125,Synthetic PR #1125,MERGED,2024-08-25T00:00:00Z,2024-08-27T00:00:00Z,2024-08-27T00:00:00Z,False,False,drodriguez63,90,30,1,1,2,0,0
heliosdrift,commerce-platform,1114,Synthetic PR #1114,MERGED,2024-08-26T00:00:00Z,2024-08-28T00:00:00Z,2024-08-28T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1146,Synthetic PR #1146,MERGED,2024-08-27T00:00:00Z,2024-08-29T00:00:00Z,2024-08-29T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,1147,Synthetic PR #1147,MERGED,2024-08-28T00:00:00Z,2024-08-30T00:00:00Z,2024-08-30T00:00:00Z,False,False,bsmith79,90,30,1,1,1,0,0
heliosdrift,commerce-platform,1113,Synthetic PR #1113,MERGED,2024-08-29T00:00:00Z,2024-08-31T00:00:00Z,2024-08-31T00:00:00Z,False,False,bsmith79,120,40,1,1,1,0,0
heliosdrift,commerce-platform,1161,Synthetic PR #1161,MERGED,2024-08-30T00:00:00Z,2024-09-01T00:00:00Z,2024-09-01T00:00:00Z,False,False,bsmith79,390,130,4,3,2,0,0
heliosdrift,commerce-platform,1170,Synthetic PR #1170,MERGED,2024-08-31T00:00:00Z,2024-09-02T00:00:00Z,2024-09-02T00:00:00Z,False,False,bsmith79,240,80,2,2,3,0,0
heliosdrift,commerce-platform,1172,Synthetic PR #1172,MERGED,2024-09-01T00:00:00Z,2024-09-03T00:00:00Z,2024-09-03T00:00:00Z,False,False,pbuck38,240,80,2,2,3,0,0
heliosdrift,commerce-platform,1152,Synthetic PR #1152,MERGED,2024-09-02T00:00:00Z,2024-09-04T00:00:00Z,2024-09-04T00:00:00Z,False,False,scook74,480,160,5,4,3,0,0
heliosdrift,commerce-platform,1189,Synthetic PR #1189,MERGED,2024-09-03T00:00:00Z,2024-09-05T00:00:00Z,2024-09-05T00:00:00Z,False,False,dcombs39,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1212,Synthetic PR #1212,MERGED,2024-09-04T00:00:00Z,2024-09-06T00:00:00Z,2024-09-06T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1158,Synthetic PR #1158,MERGED,2024-09-05T00:00:00Z,2024-09-07T00:00:00Z,2024-09-07T00:00:00Z,False,False,scook74,150,50,1,1,2,0,0
heliosdrift,commerce-platform,1224,Synthetic PR #1224,MERGED,2024-09-06T00:00:00Z,2024-09-08T00:00:00Z,2024-09-08T00:00:00Z,False,False,pbuck38,60,20,1,1,2,0,0
heliosdrift,commerce-platform,1165,Synthetic PR #1165,MERGED,2024-09-07T00:00:00Z,2024-09-09T00:00:00Z,2024-09-09T00:00:00Z,False,False,bsmith79,390,130,4,3,3,0,0
heliosdrift,commerce-platform,1221,Synthetic PR #1221,MERGED,2024-09-08T00:00:00Z,2024-09-10T00:00:00Z,2024-09-10T00:00:00Z,False,False,pbuck38,60,20,1,1,2,0,0
heliosdrift,commerce-platform,1226,Synthetic PR #1226,MERGED,2024-09-09T00:00:00Z,2024-09-11T00:00:00Z,2024-09-11T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1234,Synthetic PR #1234,MERGED,2024-09-10T00:00:00Z,2024-09-12T00:00:00Z,2024-09-12T00:00:00Z,False,False,dcombs39,120,40,1,1,2,0,0
heliosdrift,commerce-platform,1230,Synthetic PR #1230,MERGED,2024-09-11T00:00:00Z,2024-09-13T00:00:00Z,2024-09-13T00:00:00Z,False,False,bsmith79,120,40,1,1,2,0,0
heliosdrift,commerce-platform,1242,Synthetic PR #1242,MERGED,2024-09-12T00:00:00Z,2024-09-14T00:00:00Z,2024-09-14T00:00:00Z,False,False,bsmith79,300,100,3,2,2,0,0
heliosdrift,commerce-platform,1259,Synthetic PR #1259,MERGED,2024-09-13T00:00:00Z,2024-09-15T00:00:00Z,2024-09-15T00:00:00Z,False,False,sdunn41,390,130,4,3,2,0,0
heliosdrift,commerce-platform,1241,Synthetic PR #1241,MERGED,2024-09-14T00:00:00Z,2024-09-16T00:00:00Z,2024-09-16T00:00:00Z,False,False,dcombs39,120,40,1,1,2,0,0
heliosdrift,commerce-platform,1258,Synthetic PR #1258,MERGED,2024-09-15T00:00:00Z,2024-09-17T00:00:00Z,2024-09-17T00:00:00Z,False,False,bsmith79,210,70,2,1,1,0,0
heliosdrift,commerce-platform,1262,Synthetic PR #1262,MERGED,2024-09-16T00:00:00Z,2024-09-18T00:00:00Z,2024-09-18T00:00:00Z,False,False,dcombs39,120,40,1,1,1,0,0
heliosdrift,commerce-platform,1239,Synthetic PR #1239,MERGED,2024-09-17T00:00:00Z,2024-09-19T00:00:00Z,2024-09-19T00:00:00Z,False,False,dcombs39,360,120,4,3,3,0,0
heliosdrift,commerce-platform,1287,Synthetic PR #1287,MERGED,2024-09-18T00:00:00Z,2024-09-20T00:00:00Z,2024-09-20T00:00:00Z,False,False,sdunn41,300,100,3,2,3,0,0
heliosdrift,commerce-platform,1243,Synthetic PR #1243,MERGED,2024-09-19T00:00:00Z,2024-09-21T00:00:00Z,2024-09-21T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1306,Synthetic PR #1306,MERGED,2024-09-20T00:00:00Z,2024-09-22T00:00:00Z,2024-09-22T00:00:00Z,False,False,bsmith79,600,200,6,5,3,0,0
heliosdrift,commerce-platform,1314,Synthetic PR #1314,MERGED,2024-09-21T00:00:00Z,2024-09-23T00:00:00Z,2024-09-23T00:00:00Z,False,False,bsmith79,210,70,2,1,2,0,0
heliosdrift,commerce-platform,1324,Synthetic PR #1324,MERGED,2024-09-22T00:00:00Z,2024-09-24T00:00:00Z,2024-09-24T00:00:00Z,False,False,bsmith79,180,60,2,1,2,0,0
heliosdrift,commerce-platform,1319,Synthetic PR #1319,MERGED,2024-09-23T00:00:00Z,2024-09-25T00:00:00Z,2024-09-25T00:00:00Z,False,False,sdunn41,300,100,3,2,1,0,0
heliosdrift,commerce-platform,1335,Synthetic PR #1335,MERGED,2024-09-24T00:00:00Z,2024-09-26T00:00:00Z,2024-09-26T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,1290,Synthetic PR #1290,MERGED,2024-09-25T00:00:00Z,2024-09-27T00:00:00Z,2024-09-27T00:00:00Z,False,False,bsmith79,240,80,2,2,1,0,0
heliosdrift,commerce-platform,1337,Synthetic PR #1337,MERGED,2024-09-26T00:00:00Z,2024-09-28T00:00:00Z,2024-09-28T00:00:00Z,False,False,bsmith79,600,200,6,5,3,0,0
heliosdrift,commerce-platform,1254,Synthetic PR #1254,MERGED,2024-09-27T00:00:00Z,2024-09-29T00:00:00Z,2024-09-29T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,1343,Synthetic PR #1343,MERGED,2024-09-28T00:00:00Z,2024-09-30T00:00:00Z,2024-09-30T00:00:00Z,False,False,sdunn41,390,130,4,3,2,0,0
heliosdrift,commerce-platform,1354,Synthetic PR #1354,MERGED,2024-09-29T00:00:00Z,2024-10-01T00:00:00Z,2024-10-01T00:00:00Z,False,False,sdunn41,1710,570,19,14,3,0,0
heliosdrift,commerce-platform,1304,Synthetic PR #1304,MERGED,2024-09-30T00:00:00Z,2024-10-02T00:00:00Z,2024-10-02T00:00:00Z,False,False,sdunn41,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1355,Synthetic PR #1355,MERGED,2024-10-01T00:00:00Z,2024-10-03T00:00:00Z,2024-10-03T00:00:00Z,False,False,sdunn41,3390,1130,37,28,4,0,0
heliosdrift,commerce-platform,1378,Synthetic PR #1378,MERGED,2024-10-02T00:00:00Z,2024-10-04T00:00:00Z,2024-10-04T00:00:00Z,False,False,bsmith79,1230,410,13,10,3,0,0
heliosdrift,commerce-platform,1380,Synthetic PR #1380,MERGED,2024-10-03T00:00:00Z,2024-10-05T00:00:00Z,2024-10-05T00:00:00Z,False,False,dcombs39,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1214,Synthetic PR #1214,MERGED,2024-10-04T00:00:00Z,2024-10-06T00:00:00Z,2024-10-06T00:00:00Z,False,False,dcombs39,240,80,2,2,1,0,0
heliosdrift,commerce-platform,1402,Synthetic PR #1402,MERGED,2024-10-05T00:00:00Z,2024-10-07T00:00:00Z,2024-10-07T00:00:00Z,False,False,sdunn41,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1413,Synthetic PR #1413,MERGED,2024-10-06T00:00:00Z,2024-10-08T00:00:00Z,2024-10-08T00:00:00Z,False,False,dcombs39,210,70,2,1,2,0,0
heliosdrift,commerce-platform,1386,Synthetic PR #1386,MERGED,2024-10-07T00:00:00Z,2024-10-09T00:00:00Z,2024-10-09T00:00:00Z,False,False,dcombs39,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1388,Synthetic PR #1388,MERGED,2024-10-08T00:00:00Z,2024-10-10T00:00:00Z,2024-10-10T00:00:00Z,False,False,dcombs39,120,40,1,1,3,0,0
heliosdrift,commerce-platform,1407,Synthetic PR #1407,MERGED,2024-10-09T00:00:00Z,2024-10-11T00:00:00Z,2024-10-11T00:00:00Z,False,False,dcombs39,930,310,10,7,3,0,0
heliosdrift,commerce-platform,1436,Synthetic PR #1436,MERGED,2024-10-10T00:00:00Z,2024-10-12T00:00:00Z,2024-10-12T00:00:00Z,False,False,sdunn41,240,80,2,2,2,0,0
heliosdrift,commerce-platform,1431,Synthetic PR #1431,MERGED,2024-10-11T00:00:00Z,2024-10-13T00:00:00Z,2024-10-13T00:00:00Z,False,False,sdunn41,420,140,4,3,3,0,0
heliosdrift,commerce-platform,1416,Synthetic PR #1416,MERGED,2024-10-12T00:00:00Z,2024-10-14T00:00:00Z,2024-10-14T00:00:00Z,False,False,sdunn41,90,30,1,1,3,0,0
heliosdrift,commerce-platform,1344,Synthetic PR #1344,MERGED,2024-10-13T00:00:00Z,2024-10-15T00:00:00Z,2024-10-15T00:00:00Z,False,False,scook74,30,10,1,1,1,0,0
heliosdrift,commerce-platform,1377,Synthetic PR #1377,MERGED,2024-10-14T00:00:00Z,2024-10-16T00:00:00Z,2024-10-16T00:00:00Z,False,False,dcombs39,210,70,2,1,4,0,0
