org,repo,pr_number,calls,input_tokens,output_tokens,dollars
heliosdrift,commerce-platform,817,6,25318,9690,0.221304
heliosdrift,commerce-platform,824,6,11920,7334,0.14577
heliosdrift,commerce-platform,836,6,11904,7306,0.145302
heliosdrift,commerce-platform,877,6,11920,7334,0.14577
heliosdrift,commerce-platform,884,6,11920,7334,0.14577
heliosdrift,commerce-platform,885,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,896,6,12172,7456,0.148356
heliosdrift,commerce-platform,897,6,15020,8548,0.17328
heliosdrift,commerce-platform,911,6,11952,7390,0.146706
heliosdrift,commerce-platform,912,6,12304,7542,0.150042
heliosdrift,commerce-platform,914,6,11968,7420,0.147204
heliosdrift,commerce-platform,915,6,12304,7542,0.150042
heliosdrift,commerce-platform,917,6,11920,7334,0.14577
heliosdrift,commerce-platform,918,6,11920,7334,0.14577
heliosdrift,commerce-platform,924,6,11904,7306,0.145302
heliosdrift,commerce-platform,925,6,11904,7306,0.145302
heliosdrift,commerce-platform,931,6,11904,7306,0.145302
heliosdrift,commerce-platform,945,6,11920,7334,0.14577
heliosdrift,commerce-platform,950,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,951,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,953,6,11904,7306,0.145302
heliosdrift,commerce-platform,958,6,11920,7334,0.14577
heliosdrift,commerce-platform,973,6,11952,7390,0.146706
heliosdrift,commerce-platform,975,6,11952,7390,0.146706
heliosdrift,commerce-platform,981,6,11920,7334,0.14577
heliosdrift,commerce-platform,1020,6,11920,7334,0.14577
heliosdrift,commerce-platform,1021,6,12172,7456,0.148356
heliosdrift,commerce-platform,1032,6,12540,7636,0.15216
heliosdrift,commerce-platform,1044,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1052,6,15020,8548,0.17328
heliosdrift,commerce-platform,1073,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1074,6,11952,7390,0.146706
heliosdrift,commerce-platform,1075,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1079,6,11904,7306,0.145302
heliosdrift,commerce-platform,1093,6,11968,7420,0.147204
heliosdrift,commerce-platform,1095,6,13756,8050,0.162018
heliosdrift,commerce-platform,1097,6,12878,7762,0.155064
heliosdrift,commerce-platform,1098,6,13214,7886,0.157932
heliosdrift,commerce-platform,1099,6,12540,7636,0.15216
heliosdrift,commerce-platform,1102,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1111,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1113,6,11952,7390,0.146706
heliosdrift,commerce-platform,1114,6,11904,7306,0.145302
heliosdrift,commerce-platform,1125,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1146,6,11920,7334,0.14577
heliosdrift,commerce-platform,1147,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1152,6,13198,7858,0.157464
heliosdrift,commerce-platform,1158,6,11968,7420,0.147204
heliosdrift,commerce-platform,1161,6,12862,7734,0.154596
heliosdrift,commerce-platform,1165,6,12862,7734,0.154596
heliosdrift,commerce-platform,1170,6,12304,7542,0.150042
heliosdrift,commerce-platform,1172,6,12304,7542,0.150042
heliosdrift,commerce-platform,1189,6,11904,7306,0.145302
heliosdrift,commerce-platform,1212,6,11904,7306,0.145302
heliosdrift,commerce-platform,1214,6,12304,7542,0.150042
heliosdrift,commerce-platform,1221,6,11920,7334,0.14577
heliosdrift,commerce-platform,1224,6,11920,7334,0.14577
heliosdrift,commerce-platform,1226,6,11904,7306,0.145302
heliosdrift,commerce-platform,1230,6,11952,7390,0.146706
heliosdrift,commerce-platform,1234,6,11952,7390,0.146706
heliosdrift,commerce-platform,1239,6,12846,7706,0.154128
heliosdrift,commerce-platform,1241,6,11952,7390,0.146706
heliosdrift,commerce-platform,1242,6,12526,7612,0.151758
heliosdrift,commerce-platform,1243,6,11904,7306,0.145302
heliosdrift,commerce-platform,1254,6,11920,7334,0.14577
heliosdrift,commerce-platform,1258,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1259,6,12862,7734,0.154596
heliosdrift,commerce-platform,1262,6,11952,7390,0.146706
heliosdrift,commerce-platform,1287,6,12526,7612,0.151758
heliosdrift,commerce-platform,1290,6,12304,7542,0.150042
heliosdrift,commerce-platform,1304,6,11904,7306,0.145302
heliosdrift,commerce-platform,1306,6,13552,8014,0.160866
heliosdrift,commerce-platform,1314,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1319,6,12526,7612,0.151758
heliosdrift,commerce-platform,1324,6,12172,7456,0.148356
heliosdrift,commerce-platform,1335,6,11920,7334,0.14577
heliosdrift,commerce-platform,1337,6,13552,8014,0.160866
heliosdrift,commerce-platform,1343,6,12862,7734,0.154596
heliosdrift,commerce-platform,1344,6,11904,7306,0.145302
heliosdrift,commerce-platform,1354,6,17498,9150,0.189744
heliosdrift,commerce-platform,1355,6,23192,9552,0.212856
heliosdrift,commerce-platform,1377,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1378,6,15708,8824,0.179484
heliosdrift,commerce-platform,1380,6,11904,7306,0.145302
heliosdrift,commerce-platform,1386,6,11904,7306,0.145302
heliosdrift,commerce-platform,1388,6,11952,7390,0.146706
heliosdrift,commerce-platform,1402,6,11904,7306,0.145302
heliosdrift,commerce-platform,1407,6,14682,8422,0.170376
heliosdrift,commerce-platform,1413,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1416,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1431,6,12878,7762,0.155064
heliosdrift,commerce-platform,1434,6,13788,8106,0.162954
heliosdrift,commerce-platform,1436,6,12304,7542,0.150042
heliosdrift,commerce-platform,1469,6,12510,7582,0.15126
heliosdrift,commerce-platform,1471,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1472,6,12172,7456,0.148356
heliosdrift,commerce-platform,1525,6,11968,7420,0.147204
heliosdrift,commerce-platform,1541,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1547,6,24424,9632,0.217752
heliosdrift,commerce-platform,1555,6,14446,8328,0.16825800000000002
heliosdrift,commerce-platform,1572,6,18204,9208,0.192732
heliosdrift,commerce-platform,1573,6,11920,7334,0.14577
heliosdrift,commerce-platform,1577,6,14094,8176,0.164922
heliosdrift,commerce-platform,1580,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1584,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1593,6,11968,7420,0.147204
heliosdrift,commerce-platform,1601,6,12510,7582,0.15126
heliosdrift,commerce-platform,1602,6,15708,8824,0.179484
heliosdrift,commerce-platform,1603,6,12540,7636,0.15216
heliosdrift,commerce-platform,1607,6,12540,7636,0.15216
heliosdrift,commerce-platform,1625,6,23176,9546,0.212718
heliosdrift,commerce-platform,1640,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1644,6,12172,7456,0.148356
heliosdrift,commerce-platform,1652,6,12510,7582,0.15126
heliosdrift,commerce-platform,1653,6,13420,7926,0.15914999999999999
heliosdrift,commerce-platform,1659,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1662,6,14798,8480,0.171594
heliosdrift,commerce-platform,1664,6,14110,8206,0.16542
heliosdrift,commerce-platform,1667,6,11920,7334,0.14577
heliosdrift,commerce-platform,1673,6,11904,7306,0.145302
heliosdrift,commerce-platform,1688,6,19450,9294,0.19776
heliosdrift,commerce-platform,1692,6,11904,7306,0.145302
heliosdrift,commerce-platform,1701,6,11904,7306,0.145302
heliosdrift,commerce-platform,1705,6,12304,7542,0.150042
heliosdrift,commerce-platform,1706,6,17292,9142,0.18900599999999998
heliosdrift,commerce-platform,1716,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1717,6,11968,7420,0.147204
heliosdrift,commerce-platform,1723,6,11968,7420,0.147204
heliosdrift,commerce-platform,1740,6,11952,7390,0.146706
heliosdrift,commerce-platform,1742,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1747,6,11920,7334,0.14577
heliosdrift,commerce-platform,1748,6,11920,7334,0.14577
heliosdrift,commerce-platform,1754,6,12304,7542,0.150042
heliosdrift,commerce-platform,1768,6,13198,7858,0.157464
heliosdrift,commerce-platform,1773,6,14110,8206,0.16542
heliosdrift,commerce-platform,1782,6,13788,8106,0.162954
heliosdrift,commerce-platform,1784,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1793,6,12862,7734,0.154596
heliosdrift,commerce-platform,1795,6,14094,8176,0.164922
heliosdrift,commerce-platform,1797,6,13552,8014,0.160866
heliosdrift,commerce-platform,1804,6,12526,7612,0.151758
heliosdrift,commerce-platform,1815,6,13436,7954,0.159618
heliosdrift,commerce-platform,1816,6,11968,7420,0.147204
heliosdrift,commerce-platform,1819,6,11952,7390,0.146706
heliosdrift,commerce-platform,1825,6,11952,7390,0.146706
heliosdrift,commerce-platform,1830,6,11920,7334,0.14577
heliosdrift,commerce-platform,1833,6,11968,7420,0.147204
heliosdrift,commerce-platform,1835,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1842,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1843,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1846,6,11920,7334,0.14577
heliosdrift,commerce-platform,1849,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1850,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1853,6,12526,7612,0.151758
heliosdrift,commerce-platform,1854,6,13420,7926,0.15914999999999999
heliosdrift,commerce-platform,1855,6,12510,7582,0.15126
heliosdrift,commerce-platform,1858,6,11952,7390,0.146706
heliosdrift,commerce-platform,1870,6,15020,8548,0.17328
heliosdrift,commerce-platform,1871,6,14330,8270,0.16704
heliosdrift,commerce-platform,1873,6,14124,8230,0.165822
heliosdrift,commerce-platform,1874,6,13214,7886,0.157932
heliosdrift,commerce-platform,1882,6,12304,7542,0.150042
heliosdrift,commerce-platform,1894,6,14668,8398,0.169974
heliosdrift,commerce-platform,1902,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1912,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1914,6,15356,8672,0.176148
heliosdrift,commerce-platform,1936,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1937,6,12862,7734,0.154596
heliosdrift,commerce-platform,1938,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1959,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,1962,6,12862,7734,0.154596
heliosdrift,commerce-platform,1963,6,11968,7420,0.147204
heliosdrift,commerce-platform,1966,6,13084,7804,0.156312
heliosdrift,commerce-platform,1968,6,11968,7420,0.147204
heliosdrift,commerce-platform,1974,6,12304,7542,0.150042
heliosdrift,commerce-platform,1976,6,11904,7306,0.145302
heliosdrift,commerce-platform,1985,6,11904,7306,0.145302
heliosdrift,commerce-platform,1987,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,1995,6,13084,7804,0.156312
heliosdrift,commerce-platform,2000,6,15708,8824,0.179484
heliosdrift,commerce-platform,2001,6,11920,7334,0.14577
heliosdrift,commerce-platform,2015,6,11904,7306,0.145302
heliosdrift,commerce-platform,2021,6,11920,7334,0.14577
heliosdrift,commerce-platform,2031,6,11920,7334,0.14577
heliosdrift,commerce-platform,2087,6,12304,7542,0.150042
heliosdrift,commerce-platform,2108,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2112,6,11904,7306,0.145302
heliosdrift,commerce-platform,2123,6,12510,7582,0.15126
heliosdrift,commerce-platform,2124,6,12510,7582,0.15126
heliosdrift,commerce-platform,2125,6,12304,7542,0.150042
heliosdrift,commerce-platform,2130,6,15340,8644,0.17568
heliosdrift,commerce-platform,2131,6,12172,7456,0.148356
heliosdrift,commerce-platform,2139,6,11920,7334,0.14577
heliosdrift,commerce-platform,2141,6,11920,7334,0.14577
heliosdrift,commerce-platform,2150,6,13436,7954,0.159618
heliosdrift,commerce-platform,2154,6,12526,7612,0.151758
heliosdrift,commerce-platform,2179,6,11920,7334,0.14577
heliosdrift,commerce-platform,2183,6,12540,7636,0.15216
heliosdrift,commerce-platform,2184,6,16252,8992,0.183636
heliosdrift,commerce-platform,2187,6,13436,7954,0.159618
heliosdrift,commerce-platform,2197,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2204,6,13788,8106,0.162954
heliosdrift,commerce-platform,2210,6,12540,7636,0.15216
heliosdrift,commerce-platform,2220,6,11952,7390,0.146706
heliosdrift,commerce-platform,2224,6,11920,7334,0.14577
heliosdrift,commerce-platform,2234,6,12846,7706,0.154128
heliosdrift,commerce-platform,2239,6,13420,7926,0.15914999999999999
heliosdrift,commerce-platform,2240,6,12304,7542,0.150042
heliosdrift,commerce-platform,2241,6,13436,7954,0.159618
heliosdrift,commerce-platform,2243,6,15036,8578,0.173778
heliosdrift,commerce-platform,2246,6,13772,8078,0.162486
heliosdrift,commerce-platform,2255,6,13772,8078,0.162486
heliosdrift,commerce-platform,2264,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2270,6,11920,7334,0.14577
heliosdrift,commerce-platform,2272,6,11952,7390,0.146706
heliosdrift,commerce-platform,2273,6,14094,8176,0.164922
heliosdrift,commerce-platform,2275,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,2343,6,12526,7612,0.151758
heliosdrift,commerce-platform,2346,6,11920,7334,0.14577
heliosdrift,commerce-platform,2351,6,11920,7334,0.14577
heliosdrift,commerce-platform,2358,6,11904,7306,0.145302
heliosdrift,commerce-platform,2359,6,11904,7306,0.145302
heliosdrift,commerce-platform,2365,6,12172,7456,0.148356
heliosdrift,commerce-platform,2369,6,11952,7390,0.146706
heliosdrift,commerce-platform,2372,6,11920,7334,0.14577
heliosdrift,commerce-platform,2402,6,15036,8578,0.173778
heliosdrift,commerce-platform,2408,6,11952,7390,0.146706
heliosdrift,commerce-platform,2411,6,11920,7334,0.14577
heliosdrift,commerce-platform,2420,6,11904,7306,0.145302
heliosdrift,commerce-platform,2430,6,13198,7858,0.157464
heliosdrift,commerce-platform,2436,6,11920,7334,0.14577
heliosdrift,commerce-platform,2442,6,13788,8106,0.162954
heliosdrift,commerce-platform,2456,6,11920,7334,0.14577
heliosdrift,commerce-platform,2464,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2471,6,12510,7582,0.15126
heliosdrift,commerce-platform,2475,6,17498,9150,0.189744
heliosdrift,commerce-platform,2508,6,11968,7420,0.147204
heliosdrift,commerce-platform,2525,6,17866,9186,0.191388
heliosdrift,commerce-platform,2543,6,11952,7390,0.146706
heliosdrift,commerce-platform,2544,6,11904,7306,0.145302
heliosdrift,commerce-platform,2546,6,11920,7334,0.14577
heliosdrift,commerce-platform,2552,6,13756,8050,0.162018
heliosdrift,commerce-platform,2566,6,11904,7306,0.145302
heliosdrift,commerce-platform,2567,6,11968,7420,0.147204
heliosdrift,commerce-platform,2579,6,11920,7334,0.14577
heliosdrift,commerce-platform,2582,6,11968,7420,0.147204
heliosdrift,commerce-platform,2583,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2590,6,12540,7636,0.15216
heliosdrift,commerce-platform,2597,6,17162,9128,0.188406
heliosdrift,commerce-platform,2599,6,24982,9668,0.219966
heliosdrift,commerce-platform,2604,6,12540,7636,0.15216
heliosdrift,commerce-platform,2608,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2609,6,11904,7306,0.145302
heliosdrift,commerce-platform,2612,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,2616,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2620,6,11968,7420,0.147204
heliosdrift,commerce-platform,2628,6,13084,7804,0.156312
heliosdrift,commerce-platform,2630,6,11952,7390,0.146706
heliosdrift,commerce-platform,2646,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2648,6,18746,9236,0.194778
heliosdrift,commerce-platform,2659,6,16604,9092,0.186192
heliosdrift,commerce-platform,2670,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2684,6,16282,9044,0.184506
heliosdrift,commerce-platform,2704,6,11920,7334,0.14577
heliosdrift,commerce-platform,2710,6,14446,8328,0.16825800000000002
heliosdrift,commerce-platform,2714,6,12172,7456,0.148356
heliosdrift,commerce-platform,2719,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2729,6,11904,7306,0.145302
heliosdrift,commerce-platform,2734,6,11968,7420,0.147204
heliosdrift,commerce-platform,2737,6,15004,8520,0.172812
heliosdrift,commerce-platform,2738,6,12526,7612,0.151758
heliosdrift,commerce-platform,2743,6,17530,9164,0.19005
heliosdrift,commerce-platform,2751,6,11952,7390,0.146706
heliosdrift,commerce-platform,2764,6,13198,7858,0.157464
heliosdrift,commerce-platform,2770,6,11920,7334,0.14577
heliosdrift,commerce-platform,2771,6,12526,7612,0.151758
heliosdrift,commerce-platform,2777,6,16588,9084,0.186024
heliosdrift,commerce-platform,2810,6,11904,7306,0.145302
heliosdrift,commerce-platform,2811,6,11904,7306,0.145302
heliosdrift,commerce-platform,2813,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2815,6,12304,7542,0.150042
heliosdrift,commerce-platform,2817,6,20024,9336,0.200112
heliosdrift,commerce-platform,2821,6,12878,7762,0.155064
heliosdrift,commerce-platform,2861,6,12304,7542,0.150042
heliosdrift,commerce-platform,2864,6,12846,7706,0.154128
heliosdrift,commerce-platform,2867,6,16940,9114,0.18753
heliosdrift,commerce-platform,2869,6,11904,7306,0.145302
heliosdrift,commerce-platform,2883,6,15694,8800,0.179082
heliosdrift,commerce-platform,2907,6,18776,9250,0.195078
heliosdrift,commerce-platform,2921,6,12510,7582,0.15126
heliosdrift,commerce-platform,2930,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,2931,6,15036,8578,0.173778
heliosdrift,commerce-platform,2937,6,15004,8520,0.172812
heliosdrift,commerce-platform,2945,6,15340,8644,0.17568
heliosdrift,commerce-platform,2947,6,15930,8892,0.18117
heliosdrift,commerce-platform,2949,6,11904,7306,0.145302
heliosdrift,commerce-platform,2952,6,11952,7390,0.146706
heliosdrift,commerce-platform,2953,6,11952,7390,0.146706
heliosdrift,commerce-platform,2956,6,12846,7706,0.154128
heliosdrift,commerce-platform,2961,6,13756,8050,0.162018
heliosdrift,commerce-platform,2970,6,12878,7762,0.155064
heliosdrift,commerce-platform,2971,6,18540,9228,0.19404
heliosdrift,commerce-platform,2973,6,13084,7804,0.156312
heliosdrift,commerce-platform,2975,6,13214,7886,0.157932
heliosdrift,commerce-platform,2978,6,13788,8106,0.162954
heliosdrift,commerce-platform,2980,6,13214,7886,0.157932
heliosdrift,commerce-platform,2985,6,12862,7734,0.154596
heliosdrift,commerce-platform,2986,6,12846,7706,0.154128
heliosdrift,commerce-platform,2995,6,12172,7456,0.148356
heliosdrift,commerce-platform,2997,6,14682,8422,0.170376
heliosdrift,commerce-platform,3002,6,11968,7420,0.147204
heliosdrift,commerce-platform,3004,6,13772,8078,0.162486
heliosdrift,commerce-platform,3006,6,12846,7706,0.154128
heliosdrift,commerce-platform,3007,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3008,6,12526,7612,0.151758
heliosdrift,commerce-platform,3013,6,11904,7306,0.145302
heliosdrift,commerce-platform,3015,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3018,6,12304,7542,0.150042
heliosdrift,commerce-platform,3023,6,12510,7582,0.15126
heliosdrift,commerce-platform,3030,6,13084,7804,0.156312
heliosdrift,commerce-platform,3031,6,11920,7334,0.14577
heliosdrift,commerce-platform,3033,6,11904,7306,0.145302
heliosdrift,commerce-platform,3040,6,11904,7306,0.145302
heliosdrift,commerce-platform,3041,6,16252,8992,0.183636
heliosdrift,commerce-platform,3043,6,11904,7306,0.145302
heliosdrift,commerce-platform,3044,6,12510,7582,0.15126
heliosdrift,commerce-platform,3047,6,12510,7582,0.15126
heliosdrift,commerce-platform,3051,6,12304,7542,0.150042
heliosdrift,commerce-platform,3074,6,18204,9208,0.192732
heliosdrift,commerce-platform,3083,6,12540,7636,0.15216
heliosdrift,commerce-platform,3085,6,12846,7706,0.154128
heliosdrift,commerce-platform,3087,6,12846,7706,0.154128
heliosdrift,commerce-platform,3090,6,17530,9164,0.19005
heliosdrift,commerce-platform,3092,6,18776,9250,0.195078
heliosdrift,commerce-platform,3093,6,16824,9106,0.187062
heliosdrift,commerce-platform,3094,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3097,6,12304,7542,0.150042
heliosdrift,commerce-platform,3102,6,16824,9106,0.187062
heliosdrift,commerce-platform,3108,6,12510,7582,0.15126
heliosdrift,commerce-platform,3110,6,12878,7762,0.155064
heliosdrift,commerce-platform,3114,6,12878,7762,0.155064
heliosdrift,commerce-platform,3123,6,14462,8356,0.168726
heliosdrift,commerce-platform,3141,6,13198,7858,0.157464
heliosdrift,commerce-platform,3152,6,13084,7804,0.156312
heliosdrift,commerce-platform,3154,6,12878,7762,0.155064
heliosdrift,commerce-platform,3155,6,11968,7420,0.147204
heliosdrift,commerce-platform,3159,6,11904,7306,0.145302
heliosdrift,commerce-platform,3162,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3172,6,13214,7886,0.157932
heliosdrift,commerce-platform,3186,6,11904,7306,0.145302
heliosdrift,commerce-platform,3187,6,16956,9120,0.187668
heliosdrift,commerce-platform,3190,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3191,6,12304,7542,0.150042
heliosdrift,commerce-platform,3192,6,11968,7420,0.147204
heliosdrift,commerce-platform,3197,6,13756,8050,0.162018
heliosdrift,commerce-platform,3203,6,12172,7456,0.148356
heliosdrift,commerce-platform,3205,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3210,6,12172,7456,0.148356
heliosdrift,commerce-platform,3213,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3219,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3221,6,11920,7334,0.14577
heliosdrift,commerce-platform,3223,6,12304,7542,0.150042
heliosdrift,commerce-platform,3237,6,13214,7886,0.157932
heliosdrift,commerce-platform,3241,6,12172,7456,0.148356
heliosdrift,commerce-platform,3244,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3250,6,12304,7542,0.150042
heliosdrift,commerce-platform,3252,6,11904,7306,0.145302
heliosdrift,commerce-platform,3256,6,11968,7420,0.147204
heliosdrift,commerce-platform,3257,6,15708,8824,0.179484
heliosdrift,commerce-platform,3272,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3276,6,14124,8230,0.165822
heliosdrift,commerce-platform,3278,6,11920,7334,0.14577
heliosdrift,commerce-platform,3282,6,11968,7420,0.147204
heliosdrift,commerce-platform,3294,6,11968,7420,0.147204
heliosdrift,commerce-platform,3311,6,11968,7420,0.147204
heliosdrift,commerce-platform,3312,6,12304,7542,0.150042
heliosdrift,commerce-platform,3315,6,11920,7334,0.14577
heliosdrift,commerce-platform,3319,6,11920,7334,0.14577
heliosdrift,commerce-platform,3321,6,11904,7306,0.145302
heliosdrift,commerce-platform,3323,6,13198,7858,0.157464
heliosdrift,commerce-platform,3329,6,18072,9192,0.192096
heliosdrift,commerce-platform,3334,6,11952,7390,0.146706
heliosdrift,commerce-platform,3341,6,13756,8050,0.162018
heliosdrift,commerce-platform,3350,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3352,6,15004,8520,0.172812
heliosdrift,commerce-platform,3365,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3376,6,11920,7334,0.14577
heliosdrift,commerce-platform,3377,6,13436,7954,0.159618
heliosdrift,commerce-platform,3385,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3392,6,12540,7636,0.15216
heliosdrift,commerce-platform,3394,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3407,6,13788,8106,0.162954
heliosdrift,commerce-platform,3408,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3414,6,15020,8548,0.17328
heliosdrift,commerce-platform,3415,6,11952,7390,0.146706
heliosdrift,commerce-platform,3417,6,13772,8078,0.162486
heliosdrift,commerce-platform,3420,6,11904,7306,0.145302
heliosdrift,commerce-platform,3435,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3436,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,3442,6,12172,7456,0.148356
heliosdrift,commerce-platform,3446,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3450,6,15020,8548,0.17328
heliosdrift,commerce-platform,3451,6,11904,7306,0.145302
heliosdrift,commerce-platform,3460,6,12540,7636,0.15216
heliosdrift,commerce-platform,3474,6,14330,8270,0.16704
heliosdrift,commerce-platform,3477,6,11968,7420,0.147204
heliosdrift,commerce-platform,3482,6,15036,8578,0.173778
heliosdrift,commerce-platform,3483,6,17850,9178,0.19122
heliosdrift,commerce-platform,3491,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,3492,6,11968,7420,0.147204
heliosdrift,commerce-platform,3498,6,11904,7306,0.145302
heliosdrift,commerce-platform,3510,6,12878,7762,0.155064
